genid,id,name,cpu,mem,memperc,netin,netout,blockin,blockout,image,detuser,ip,date
748d17a2-ccf1-4146-92d6-f6b86a2a0c51,5e1d18f2d053,objective_black,1.05,6.28097e+08,1.88,9.43718e+07,9.01775e+07,2.01327e+08,2.7263e+07,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clalonsogarcia,172.27.40.102,2024-04-23 20:51:46
3a5da43f-6f46-4ec3-b640-9d170a12c5bb,db2514bd2f7c,pensive_kapitsa,0.41,1.07374e+09,3.46,3.28204e+08,1.04438e+09,3.3135e+08,1.66724e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,cladria,172.27.40.102,2024-04-23 20:51:46
2babea68-d5b4-4497-9e69-72f110e2b2a0,1c2e250005e4,pensive_nobel,0.01,2.4327e+08,0.73,1.30023e+08,3.25059e+07,3.10378e+08,6.50117e+07,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,clariadna,172.27.40.102,2024-04-23 20:51:46
696e754b-aa84-4bf6-a033-db3ffadf78cf,f9e7b2212f7d,dazzling_maxwell,0.23,6.44245e+09,20.21,2.63193e+08,6.08174e+07,4.84442e+08,1.67772e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clchristina,172.27.40.102,2024-04-23 20:51:46
b7db778a-af03-4031-97d1-61746ffc857e,5049f6c48abb,recursing_cori,0.01,6.44245e+09,5.05,1.60432e+08,2.30687e+07,4.75005e+08,6.50117e+07,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clcarlos,172.27.40.109,2024-04-23 20:51:51
96a9e077-3d87-4f92-b684-97afce6f038b,23093d2fe9c7,frosty_lovelace,2.4,1.07374e+09,1.38,9.33233e+07,6.08174e+07,7.70703e+08,1.04858e+06,harbor.vhio.net/determine/srtools:0.24.4,clcarlos,172.27.40.109,2024-04-23 20:51:51
e313d6e0-88e3-4d82-ac4d-8c7a0866b9b2,009b31303ad0,brave_dhawan,244.35,1.15964e+11,86.03,4.1943e+06,1.25829e+07,7.5812e+08,1.07374e+09,harbor.vhio.net/determine/custom_gpu:0.24.1.3,clbernat,172.27.40.111,2024-04-23 20:52:36
bef09d25-dcdc-428d-bb36-890121e3bcbb,81748903fe57,funny_ishizaka,0.19,1.01712e+08,0.08,5.22191e+08,6.9206e+07,9.88807e+08,2.14748e+09,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clolivia,172.27.40.111,2024-04-23 20:52:36
833175e1-bf95-4c0a-ad1a-76a6078c0e97,855999a48d19,intelligent_napier,0.53,3.51273e+08,0.26,1.07374e+10,1.1489e+11,3.22123e+09,4.29497e+09,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clbernat,172.27.40.111,2024-04-23 20:52:36
f744f45b-47bb-4072-8cc6-63555cec34c3,8dcd67312969,nifty_rosalind,1.71,5.36871e+09,4.72,2.55853e+08,3.51273e+08,1.22683e+08,7.1408e+08,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,cldaniel,172.27.40.106,2024-04-23 20:52:41
9faa2b14-6ddd-4aae-a60b-1ea12f72e914,ec57bac4e511,ecstatic_ride,0.07,2.17055e+08,0.65,7.6546e+07,5.24288e+06,1.36315e+08,1.04858e+06,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,clhumaira,172.27.40.102,2024-04-23 20:52:49
91fef605-4d71-479a-a2f2-7489e25c8b5f,5e1d18f2d053,objective_black,0.75,6.28097e+08,1.88,9.43718e+07,9.01775e+07,2.01327e+08,2.7263e+07,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clalonsogarcia,172.27.40.102,2024-04-23 20:52:49
7dffa475-eab9-4f79-bb65-e9292a333013,db2514bd2f7c,pensive_kapitsa,0.07,1.07374e+09,3.46,3.28204e+08,1.04438e+09,3.3135e+08,1.66724e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,cladria,172.27.40.102,2024-04-23 20:52:49
